,,8847290,,,ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性白血病／リンパ腫
,,8847291,,,ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性リンパ腫
,,8848187,,,ＩＭＡｇｅ症候群
,,8849700,,,ＩＰＥＸ症候群
,,7169001,,,ＩＰ関節炎
,,8421001,,,ＩＰ関節捻挫
,,8849572,,,ＩＲＡＫ４欠損症
,,8841293,,,ＩＵＤ検診
,,8841294,,,ＩＵＤ挿入
,,8841295,,,ＩＵＤ抜去
,,8848314,,,ＩｇＡ血管炎
,,8848315,,,ＩｇＡ血管炎性関節炎
,,8846076,,,ＩｇＡ欠損症
,,5831001,,,ＩｇＡ腎症
,,8848112,,,ＩｇＧ４関連硬化性胆管炎
,,8848113,,,ＩｇＧ４関連疾患
,,8848114,,,ＩｇＧ４関連腎臓病
,,8848115,,,ＩｇＧ４関連ミクリッツ病
,,8846077,,,ＩｇＧサブクラス欠損症
,,8846078,,,ＩｇＭ欠損症
,,8830106,,,Ｉ細胞病
,,8848438,,,ＫＩＤ症候群
,,8847827,,,ＫＩＴ（ＣＤ１１７）陽性胃消化管間質腫瘍
,,8847828,,,ＫＩＴ（ＣＤ１１７）陽性結腸消化管間質腫瘍
,,8842453,,,ＫＩＴ（ＣＤ１１７）陽性消化管間質腫瘍
,,8847829,,,ＫＩＴ（ＣＤ１１７）陽性小腸消化管間質腫瘍
,,8847830,,,ＫＩＴ（ＣＤ１１７）陽性食道消化管間質腫瘍
,,8847831,,,ＫＩＴ（ＣＤ１１７）陽性直腸消化管間質腫瘍
,,8847915,,,ＫＲＡＳ遺伝子野生型結腸癌
,,8847916,,,ＫＲＡＳ遺伝子野生型直腸癌
,,8830107,,,Ｌ－キシルロース尿症
,,8847148,,,ＬＣＡＤ欠損症
,,8849518,,,ＬＣＡＴ欠損症
,,8847149,,,ＬＣＨＡＤ欠損症
,,8845146,,,ＬＥ型薬疹
,,8830108,,,ＬＥ蝶形皮疹
,,8830109,,,ＬＥ皮疹
,,8830111,,,ＬＦＡ－１欠乏症
,,4268001,,,ＬＧＬ症候群
,,2534011,,,ＬＨ単独欠損症
,,8830112,,,ＬＬ型ハンセン病
,,8849701,,,ＬＭＸ１Ｂ関連腎症
,,8845204,,,ＬＰシャント感染症
,,8845107,,,ＬＰシャント機能不全
,,8844833,,,ＬＳＤ使用による急性精神・行動障害
,,3045001,,,ＬＳＤ中毒
,,3053001,,,ＬＳＤ反応
,,7533001,,,Ｌ字状腎
,,8842312,,,ＭＡＬＴリンパ腫
,,8847150,,,ＭＣＡＤ欠損症
,,8849859,,,ＭＥＣＰ２重複症候群
,,8846079,,,ＭＥＬＡＳ症候群
,,8846080,,,ＭＥＲＲＦ症候群
,,8846082,,,ＭＨＣクラスＩ・ＩＩ欠損症
,,8846081,,,ＭＨＣクラスＩ欠損症
,,8846083,,,ＭＨＣクラスＩＩ欠損症
,,8850965,,,ＭＩＢＧ集積陽性褐色細胞腫
,,8850966,,,ＭＩＢＧ集積陽性傍神経節腫
